SiteID,Exp Unit ID,Treatment ID,Crop,Grain C kgC/ha,Above G Biomass kg/ha,Year,Tillage Descriptor,Cover Crop,Residue Removal,MAP mm,MAT degC,Total N Amount kgN/ha,Sand %,Clay %,Upper cm,Lower cm,Organic C gC/kg,pH,GS_P,GS_T
IAAM7071,IAAM7071_212,IAAM7071_12,Zea mays (Corn),4270.53553,9812.81142,2008,No Till,None,Yes,862,9.22,210.12,NA,NA,0,5,25.6635,5.4,861.568,18.28318237
IAAM7071,IAAM7071_314,IAAM7071_12,Zea mays (Corn),4180.142654,9653.909132,2008,No Till,None,Yes,862,9.22,210.12,NA,NA,0,5,22.5502,5.5,861.568,18.28318237
IAAM7071,IAAM7071_421,IAAM7071_12,Zea mays (Corn),3601.700143,8712.385445,2008,No Till,None,Yes,862,9.22,210.12,NA,NA,0,5,28.9061,4.9,861.568,18.28318237
IAAM7071,IAAM7071_103,IAAM7071_13,Zea mays (Corn),3648.540785,NA,2008,Conservation Till,None,No,862,9.22,141.68,NA,NA,0,5,27.1969,5.7,861.568,18.28318237
IAAM7071,IAAM7071_202,IAAM7071_13,Zea mays (Corn),4174.535135,NA,2008,Conservation Till,None,No,862,9.22,141.68,NA,NA,0,5,30.91,4.8,861.568,18.28318237
IAAM7071,IAAM7071_320,IAAM7071_13,Zea mays (Corn),4049.856741,NA,2008,Conservation Till,None,No,862,9.22,141.68,NA,NA,0,5,19.1831,6.3,861.568,18.28318237
IAAM7071,IAAM7071_419,IAAM7071_13,Zea mays (Corn),4095.700991,NA,2008,Conservation Till,None,No,862,9.22,141.68,NA,NA,0,5,20.1115,5.7,861.568,18.28318237
IAAM7071,IAAM7071_117,IAAM7071_14,Zea mays (Corn),3813.899153,NA,2008,Conservation Till,None,No,862,9.22,141.68,NA,NA,0,5,28.11,5.8,861.568,18.28318237
IAAM7071,IAAM7071_216,IAAM7071_14,Zea mays (Corn),4064.571681,NA,2008,Conservation Till,None,No,862,9.22,141.68,NA,NA,0,5,37.278,5.5,861.568,18.28318237
IAAM7071,IAAM7071_315,IAAM7071_14,Zea mays (Corn),3850.930943,NA,2008,Conservation Till,None,No,862,9.22,141.68,NA,NA,0,5,25.7671,5.5,861.568,18.28318237
IAAM7071,IAAM7071_413,IAAM7071_14,Zea mays (Corn),4157.495989,NA,2008,Conservation Till,None,No,862,9.22,141.68,NA,NA,0,5,28.1994,6.3,861.568,18.28318237
IAAM7071,IAAM7071_107,IAAM7071_15,Zea mays (Corn),3909.190305,NA,2008,Conservation Till,None,Partial,862,9.22,141.68,NA,NA,0,5,29.4897,5.2,861.568,18.28318237
IAAM7071,IAAM7071_211,IAAM7071_15,Zea mays (Corn),4103.413899,NA,2008,Conservation Till,None,Partial,862,9.22,141.68,NA,NA,0,5,26.073,6.4,861.568,18.28318237
IAAM7071,IAAM7071_301,IAAM7071_15,Zea mays (Corn),4040.636236,NA,2008,Conservation Till,None,Partial,862,9.22,141.68,NA,NA,0,5,25.8447,5.6,861.568,18.28318237
IAAM7071,IAAM7071_418,IAAM7071_15,Zea mays (Corn),3929.682842,NA,2008,Conservation Till,None,Partial,862,9.22,141.68,NA,NA,0,5,24.1422,5.4,861.568,18.28318237
IAAM7071,IAAM7071_104,IAAM7071_16,Zea mays (Corn),3767.144856,NA,2008,Conservation Till,None,Partial,862,9.22,141.68,NA,NA,0,5,27.0589,5.7,861.568,18.28318237
IAAM7071,IAAM7071_204,IAAM7071_16,Zea mays (Corn),3993.370943,NA,2008,Conservation Till,None,Partial,862,9.22,141.68,NA,NA,0,5,26.4416,5.6,861.568,18.28318237
IAAM7071,IAAM7071_319,IAAM7071_16,Zea mays (Corn),3909.11993,NA,2008,Conservation Till,None,Partial,862,9.22,141.68,NA,NA,0,5,28.6878,6.4,861.568,18.28318237
IAAM7071,IAAM7071_403,IAAM7071_16,Zea mays (Corn),4007.423353,NA,2008,Conservation Till,None,Partial,862,9.22,141.68,NA,NA,0,5,28.5219,6.1,861.568,18.28318237
IAAM7071,IAAM7071_109,IAAM7071_17,Zea mays (Corn),4151.692784,NA,2008,Conservation Till,None,Yes,862,9.22,141.68,NA,NA,0,5,25.3598,5.6,861.568,18.28318237
IAAM7071,IAAM7071_210,IAAM7071_17,Zea mays (Corn),4123.905379,NA,2008,Conservation Till,None,Yes,862,9.22,141.68,NA,NA,0,5,26.1211,6.5,861.568,18.28318237
IAAM7071,IAAM7071_311,IAAM7071_17,Zea mays (Corn),4105.591736,NA,2008,Conservation Till,None,Yes,862,9.22,141.68,NA,NA,0,5,28.4875,6.1,861.568,18.28318237
IAAM7071,IAAM7071_407,IAAM7071_17,Zea mays (Corn),4044.131372,NA,2008,Conservation Till,None,Yes,862,9.22,141.68,NA,NA,0,5,23.425,5.8,861.568,18.28318237
IAAM7071,IAAM7071_101,IAAM7071_18,Zea mays (Corn),3948.977019,NA,2008,Conservation Till,None,Yes,862,9.22,141.68,NA,NA,0,5,33.7238,6.4,861.568,18.28318237
IAAM7071,IAAM7071_205,IAAM7071_18,Zea mays (Corn),4133.009498,NA,2008,Conservation Till,None,Yes,862,9.22,141.68,NA,NA,0,5,22.6345,6.1,861.568,18.28318237
IAAM7071,IAAM7071_312,IAAM7071_18,Zea mays (Corn),4029.604418,NA,2008,Conservation Till,None,Yes,862,9.22,141.68,NA,NA,0,5,25.44,5.3,861.568,18.28318237
IAAM7071,IAAM7071_406,IAAM7071_18,Zea mays (Corn),3995.362133,NA,2008,Conservation Till,None,Yes,862,9.22,141.68,NA,NA,0,5,31.8122,6.2,861.568,18.28318237
